"V1","V2","V3","V4","V5","V6"
0.346353022476148,0,0,0,0,0
0,0,0,0,0.0553593063476905,0
0,0.1192691294977,0,0,0,0
0,0,0,0,0,0.124779395997048
0,0,0,0,0,0.0441121173837307
0,0,0,0,0,0.0142082554675091
0,0,0,0,0,0.0181224858389903
0,0,0,0,0,0.0904825349589111
0,0,0,0.0356888459789458,0,0
0,0,0,0,0,0.0686968704935642
0,0,0,0,0,0.0788881528607482
0,0,0,0,0,0.0429067678788292
0,0,0,0,0,0.0256209298097642
0,0,0,0,0,0.000569269956682998
0,0,0,0,0,0.00844323718897983
0,0,0,0,0,0.0424063205243169
0,0,0,0,0,0.0225959108940725
0,0,0,0,0,0.0254969761648243
0,0,0.147866975962095,0,0,0
0,0,0,0,0,0.00387638182742677
0,0,0,0,0,0.0133151130860374
0,0,0,0,0,0.0463476933027475
0,0,0,0,0,0.108987947058507
0,0,0,0,0,0.00415815850575569
0,0,0,0,0,0.000934623361810493
0,0,0,0,0,0.000722582098930219
0,0,0,0,0,0.00055892344673942
0,0,0,0,0,0.00461878270365985
0,0,0,0,0,0.0120332929777929
0,0,0,0,0,0.00350442657425149
0,0,0,0,0,0.000900006955117945
0,0,0,0,0,0.0596544565783082
0,0,0,0,0,0.00145663425035752
0,0,0,0,0,0.00133663065324761
0,0,0,0,0,0.0771614068006796
0,0,0,0,0,0.00507944193292131
0,0,0,0,0,0.00122000424538267
0,0,0,0,0,0.00177253024743088
0,0,0,0,0,0.0435426776960069
0,0,0,0,0,0.00547415113546568
0,0,0,0,0,0.0180304153747089
0,0,0,0,0,0.00251307652560418
0,0,0,0,0,0.00169844888195217
0,0,0,0,0,0.0018853692979597
0,0,0,0,0,0.00161513468198991
0,0,0,0,0,0.00105849086463437
0,0,0,0,0,0.0404798376479431
0,0,0,0,0,0.00318728026678948
0,0,0,0,0,0.00141246321618654
0,0,0,0,0,0.00622153337150348
0,0,0,0,0,0.00212322923887836
0,0,0,0,0,0.0186594241359807
0,0,0,0,0,0.00821429269700243
0,0,0,0,0,0.00128056302537019
0,0,0,0,0,0.00310926454545036
0,0,0,0,0,0.00298385461750891
0,0,0,0,0,0.00110188749153646
0,0,0,0,0,0.0175492252439244
0,0,0,0,0,0.0171269347562575
0,0,0,0,0,0.00440788446690602
0,0,0,0,0,0.00190145724887629
0,0,0,0,0,0.00116080649141097
0,0,0,0,0,0.000750776828464978
0,0,0,0,0,0.00558103316365903
0,0,0,0,0,0.0820358611340512
0,0,0,0,0,0.00145937463862679
0,0,0,0,0,0.00336674163634013
0,0,0,0,0,0.00228503061714468
0,0,0,0,0,0.00497503029818287
0,0,0,0,0,0.0262760713628908
0,0,0,0,0,0.00259312600032165
0,0,0,0,0,0.0272419769936828
0,0,0,0,0,0.00117587151255579
0,0,0,0,0,0.015149207629156
0,0,0,0,0,0.00162723554737878
0,0,0,0,0,0.00128577034932982
0,0,0,0,0,0.00218890277682154
0,0,0,0,0,0.0025016914468172
0,0,0,0,0,0.0010739414643361
0,0,0,0,0,0.0103860201158435
0,0,0,0,0,0.0539318565713978
0,0,0,0,0,0.0075728527759831
0,0,0,0,0,0.00269936973348982
0,0,0,0,0,0.000702048306205822
0,0,0,0,0,0.0033333263915665
0,0,0,0,0,0.00191512691005834
0,0,0,0,0,0.00136336498777863
0,0,0,0,0,0.00252244018131026
0,0,0,0,0,0.0200615221398491
0,0,0,0,0,0.00118460579791647
0,0,0,0,0,0.00785095854973681
0,0,0,0,0,0.00130580013631855
0,0,0,0,0,0.00274378225851568
0,0,0,0,0,0.00168802742578305
0,0,0,0,0,0.000536619998828632
0,0,0,0,0,0.00108030703636541
0,0,0,0,0,0.0413165658796876
0,0,0,0,0,0.148161996347132
0,0,0,0,0,0.00146660636504323
0,0,0,0,0,0.022244300495428
0,0,0,0,0,0.0262007686555909
0,0,0,0,0,0.0109662842969814
0,0,0,0,0,0.00119158747392929
0,0,0,0,0,0.0016987384771124
0,0,0,0,0,0.00092183844245413
0,0,0,0,0,0.00291406659294331
0,0,0,0,0,0.00237966555097459
0,0,0,0,0,0.00237269244886412
0,0,0,0,0,0.172274216258846
0,0,0,0,0,0.108564591632902
0,0,0,0,0,0.006031178726946
0,0,0,0,0,0.00133335232473154
0,0,0,0,0,0.00162526046773674
0,0,0,0,0,0.00226756091988486
0,0,0,0,0,0.00223245113385106
0,0,0,0,0,0.064020988035283
0,0,0,0,0,0.0965256803079696
0,0,0,0,0,0.00262147702275907
0,0,0,0,0,0.0643002012705524
0,0,0,0,0,0.00105066138946728
0,0,0,0,0,0.00221419609899377
0,0,0,0,0,0.00256937391537394
0,0,0,0,0,0.00223927937513216
0,0,0,0,0,0.00189069295084953
0,0,0,0,0,0.045984130112555
