"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
0,0,0,0,0,0,0,0,96.9417180312314,60.6226766072047,0,0,0,0,0,0,0,0
0,0,84.8008456775847,0,0,0,0,0,0,0,112.218998556272,102.208042122254,145.520268480034,0,0,0,0,0
0,84.8008456775847,0,112.627005883871,0,0,0,0,0,0,0,128.321852356401,171.633978714182,112.152223036576,0,0,0,0
0,0,112.627005883871,0,105.785138747428,0,0,0,0,0,0,0,215.857428686321,108.902273008715,128.087903539657,0,0,0
0,0,0,105.785138747428,0,118.217818108636,0,0,0,0,0,0,0,100.621255900133,72.5239864310743,130.74081417843,0,0
0,0,0,0,118.217818108636,0,135.285895005883,0,0,0,0,0,0,0,109.959982900865,82.9760106482208,110.370200923656,0
0,0,0,0,0,135.285895005883,0,65.2680659246943,0,0,0,0,0,0,0,109.033591075677,94.0403813511121,115.440634062718
0,0,0,0,0,0,65.2680659246943,0,108.735380209484,0,0,0,0,0,0,0,123.250571842468,72.7258745540737
96.9417180312314,0,0,0,0,0,0,108.735380209484,0,111.241712578891,0,0,0,0,0,0,0,102.383598347508
60.6226766072047,0,0,0,0,0,0,0,111.241712578891,0,0,0,0,0,0,0,0,0
0,112.218998556272,0,0,0,0,0,0,0,0,0,88.5827552350886,0,0,0,0,0,0
0,102.208042122254,128.321852356401,0,0,0,0,0,0,0,88.5827552350886,0,115.021975158851,0,0,0,0,0
0,145.520268480034,171.633978714182,215.857428686321,0,0,0,0,0,0,0,115.021975158851,0,181.416045839026,0,0,0,0
0,0,112.152223036576,108.902273008715,100.621255900133,0,0,0,0,0,0,0,181.416045839026,0,78.0303206923614,0,0,0
0,0,0,128.087903539657,72.5239864310743,109.959982900865,0,0,0,0,0,0,0,78.0303206923614,0,122.482978970659,0,0
0,0,0,0,130.74081417843,82.9760106482208,109.033591075677,0,0,0,0,0,0,0,122.482978970659,0,84.1178969934502,0
0,0,0,0,0,110.370200923656,94.0403813511121,123.250571842468,0,0,0,0,0,0,0,84.1178969934502,0,87.7941399804916
0,0,0,0,0,0,115.440634062718,72.7258745540737,102.383598347508,0,0,0,0,0,0,0,87.7941399804916,0
